tipo_teste,situacao,questões,abs,abstracao,h_abstracao,decom,decomposicao,h_decomposicao,gen,generalizacao,h_generalizacao,algor,algoritmo,h_algoritmo
pre_teste,ganho,1,"9,5",9.5,abstracao,,,,,,,"9,5",9.5,algoritmo
pos_teste,ganho,1,10,10,abstracao,,,,,,,10,10,algoritmo
pre_teste,ganho,2,"8,5",8.5,abstracao,,,,,,,"8,5",8.5,algoritmo
pos_teste,ganho,2,"8,5",8.5,abstracao,,,,,,,"8,5",8.5,algoritmo
pre_teste,ganho,3,"7,5",7.5,abstracao,,,,,,,"7,5",7.5,algoritmo
pos_teste,ganho,3,8,8,abstracao,,,,,,,8,8,algoritmo
pre_teste,ganho,4,,,,5,5,decomposicao,5,5,generalizacao,5,5,algoritmo
pos_teste,ganho,4,,,,"6,5",6.5,decomposicao,"6,5",6.5,generalizacao,"6,5",6.5,algoritmo
pre_teste,ganho,5,,,,11,11,decomposicao,11,11,generalizacao,11,11,algoritmo
pos_teste,ganho,5,,,,10,10,decomposicao,10,10,generalizacao,10,10,algoritmo
pre_teste,ganho,6,,,,"8,5",8.5,decomposicao,"8,5",8.5,generalizacao,"8,5",8.5,algoritmo
pos_teste,ganho,6,,,,9,9,decomposicao,9,9,generalizacao,9,9,algoritmo
pre_teste,ganho,7,"4,5",4.5,abstracao,"4,5",4.5,decomposicao,,,,"4,5",4.5,algoritmo
pos_teste,ganho,7,2,2,abstracao,2,2,decomposicao,,,,2,2,algoritmo
pre_teste,ganho,8,,,,,,,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pos_teste,ganho,8,,,,,,,"4,5",4.5,generalizacao,"4,5",4.5,algoritmo
pre_teste,ganho,9,,,,,,,"9,5",9.5,generalizacao,"9,5",9.5,algoritmo
pos_teste,ganho,9,,,,,,,"9,5",9.5,generalizacao,"9,5",9.5,algoritmo
pre_teste,ganho,10,,,,"6,5",6.5,decomposicao,"6,5",6.5,generalizacao,"6,5",6.5,algoritmo
pos_teste,ganho,10,,,,6,6,decomposicao,6,6,generalizacao,6,6,algoritmo
pre_teste,ganho,11,6,6,abstracao,6,6,decomposicao,6,6,generalizacao,6,6,algoritmo
pos_teste,ganho,11,"7,5",7.5,abstracao,"7,5",7.5,decomposicao,"7,5",7.5,generalizacao,"7,5",7.5,algoritmo
pre_teste,ganho,12,5,5,abstracao,5,5,decomposicao,5,5,generalizacao,5,5,algoritmo
pos_teste,ganho,12,"2,5",2.5,abstracao,"2,5",2.5,decomposicao,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pre_teste,ganho,13,"7,5",7.5,abstracao,"7,5",7.5,decomposicao,,,,"7,5",7.5,algoritmo
pos_teste,ganho,13,5,5,abstracao,5,5,decomposicao,,,,5,5,algoritmo
pre_teste,ganho,14,5,5,abstracao,,,,5,5,generalizacao,5,5,algoritmo
pos_teste,ganho,14,"4,5",4.5,abstracao,,,,"4,5",4.5,generalizacao,"4,5",4.5,algoritmo
pre_teste,ganho,15,2,2,abstracao,2,2,decomposicao,2,2,generalizacao,2,2,algoritmo
pos_teste,ganho,15,"3,5",3.5,abstracao,"3,5",3.5,decomposicao,"3,5",3.5,generalizacao,"3,5",3.5,algoritmo
pre_teste,ganho,16,,,,,,,,,,"2,5",2.5,algoritmo
pos_teste,ganho,16,,,,,,,,,,2,2,algoritmo
pre_teste,ganho,17,,,,,,,3,3,generalizacao,3,3,algoritmo
pos_teste,ganho,17,,,,,,,2,2,generalizacao,2,2,algoritmo
pre_teste,ganho,18,,,,,,,4,4,generalizacao,4,4,algoritmo
pos_teste,ganho,18,,,,,,,"5,5",5.5,generalizacao,"5,5",5.5,algoritmo
pre_teste,ganho,19,,,,,,,,,,"5,5",5.5,algoritmo
pos_teste,ganho,19,,,,,,,,,,"4,5",4.5,algoritmo
pre_teste,ganho,20,,,,,,,6,6,generalizacao,6,6,algoritmo
pos_teste,ganho,20,,,,,,,"6,5",6.5,generalizacao,"6,5",6.5,algoritmo
pre_teste,nao_ganho,1,9,9,abstracao,,,,,,,9,9,algoritmo
pos_teste,nao_ganho,1,9,9,abstracao,,,,,,,9,9,algoritmo
pre_teste,nao_ganho,2,"5,5",5.5,abstracao,,,,,,,"5,5",5.5,algoritmo
pos_teste,nao_ganho,2,"6,5",6.5,abstracao,,,,,,,"6,5",6.5,algoritmo
pre_teste,nao_ganho,3,"4,5",4.5,abstracao,,,,,,,"4,5",4.5,algoritmo
pos_teste,nao_ganho,3,5,5,abstracao,,,,,,,5,5,algoritmo
pre_teste,nao_ganho,4,,,,"2,5",2.5,decomposicao,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pos_teste,nao_ganho,4,,,,"2,5",2.5,decomposicao,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pre_teste,nao_ganho,5,,,,7,7,decomposicao,7,7,generalizacao,7,7,algoritmo
pos_teste,nao_ganho,5,,,,6,6,decomposicao,6,6,generalizacao,6,6,algoritmo
pre_teste,nao_ganho,6,,,,7,7,decomposicao,7,7,generalizacao,7,7,algoritmo
pos_teste,nao_ganho,6,,,,"7,5",7.5,decomposicao,"7,5",7.5,generalizacao,"7,5",7.5,algoritmo
pre_teste,nao_ganho,7,5,5,abstracao,5,5,decomposicao,,,,5,5,algoritmo
pos_teste,nao_ganho,7,4,4,abstracao,4,4,decomposicao,,,,4,4,algoritmo
pre_teste,nao_ganho,8,,,,,,,"1,5",1.5,generalizacao,"1,5",1.5,algoritmo
pos_teste,nao_ganho,8,,,,,,,3,3,generalizacao,3,3,algoritmo
pre_teste,nao_ganho,9,,,,,,,"8,5",8.5,generalizacao,"8,5",8.5,algoritmo
pos_teste,nao_ganho,9,,,,,,,6,6,generalizacao,6,6,algoritmo
pre_teste,nao_ganho,10,,,,5,5,decomposicao,5,5,generalizacao,5,5,algoritmo
pos_teste,nao_ganho,10,,,,"4,5",4.5,decomposicao,"4,5",4.5,generalizacao,"4,5",4.5,algoritmo
pre_teste,nao_ganho,11,"5,5",5.5,abstracao,"5,5",5.5,decomposicao,"5,5",5.5,generalizacao,"5,5",5.5,algoritmo
pos_teste,nao_ganho,11,6,6,abstracao,6,6,decomposicao,6,6,generalizacao,6,6,algoritmo
pre_teste,nao_ganho,12,"2,5",2.5,abstracao,"2,5",2.5,decomposicao,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pos_teste,nao_ganho,12,"1,5",1.5,abstracao,"1,5",1.5,decomposicao,"1,5",1.5,generalizacao,"1,5",1.5,algoritmo
pre_teste,nao_ganho,13,4,4,abstracao,4,4,decomposicao,,,,4,4,algoritmo
pos_teste,nao_ganho,13,"2,5",2.5,abstracao,"2,5",2.5,decomposicao,,,,"2,5",2.5,algoritmo
pre_teste,nao_ganho,14,4,4,abstracao,,,,4,4,generalizacao,4,4,algoritmo
pos_teste,nao_ganho,14,2,2,abstracao,,,,2,2,generalizacao,2,2,algoritmo
pre_teste,nao_ganho,15,"3,5",3.5,abstracao,"3,5",3.5,decomposicao,"3,5",3.5,generalizacao,"3,5",3.5,algoritmo
pos_teste,nao_ganho,15,"2,5",2.5,abstracao,"2,5",2.5,decomposicao,"2,5",2.5,generalizacao,"2,5",2.5,algoritmo
pre_teste,nao_ganho,16,,,,,,,,,,"3,5",3.5,algoritmo
pos_teste,nao_ganho,16,,,,,,,,,,2,2,algoritmo
pre_teste,nao_ganho,17,,,,,,,1,1,generalizacao,1,1,algoritmo
pos_teste,nao_ganho,17,,,,,,,2,2,generalizacao,2,2,algoritmo
pre_teste,nao_ganho,18,,,,,,,"4,5",4.5,generalizacao,"4,5",4.5,algoritmo
pos_teste,nao_ganho,18,,,,,,,3,3,generalizacao,3,3,algoritmo
pre_teste,nao_ganho,19,,,,,,,,,,"4,5",4.5,algoritmo
pos_teste,nao_ganho,19,,,,,,,,,,2,2,algoritmo
pre_teste,nao_ganho,20,,,,,,,6,6,generalizacao,6,6,algoritmo
pos_teste,nao_ganho,20,,,,,,,"3,5",3.5,generalizacao,"3,5",3.5,algoritmo
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,80,,,,,,,,,,,
