tipo_teste,questões,abs,abstracao,h_abstracao,decom,decomposicao,h_decomposicao,gen,generalizacao,h_generalizacao,algor,algoritmo,h_algoritmo
pre_teste,1,"18,5",18.5,abstracao,,,,,,,"18,5",18.5,algoritmo
pos_teste,1,19,19,abstracao,,,,,,,19,19,algoritmo
pre_teste,2,14,14,abstracao,,,,,,,14,14,algoritmo
pos_teste,2,15,15,abstracao,,,,,,,15,15,algoritmo
pre_teste,3,"11,5",11.5,abstracao,,,,,,,"11,5",11.5,algoritmo
pos_teste,3,"12,5",12.5,abstracao,,,,,,,"12,5",12.5,algoritmo
pre_teste,4,,,,"7,5",7.5,decomposicao,"7,5",7.5,generalizacao,"7,5",7.5,algoritmo
pos_teste,4,,,,8,8,decomposicao,8,8,generalizacao,8,8,algoritmo
pre_teste,5,,,,16,16,decomposicao,16,16,generalizacao,16,16,algoritmo
pos_teste,5,,,,"16,5",16.5,decomposicao,"16,5",16.5,generalizacao,"16,5",16.5,algoritmo
pre_teste,6,,,,"15,5",15.5,decomposicao,"15,5",15.5,generalizacao,"15,5",15.5,algoritmo
pos_teste,6,,,,"16,5",16.5,decomposicao,"16,5",16.5,generalizacao,"16,5",16.5,algoritmo
pre_teste,7,"9,5",9.5,abstracao,"9,5",9.5,decomposicao,,,,"9,5",9.5,algoritmo
pos_teste,7,6,6,abstracao,6,6,decomposicao,,,,6,6,algoritmo
pre_teste,8,,,,,,,4,4,generalizacao,4,4,algoritmo
pos_teste,8,,,,,,,8,8,generalizacao,8,8,algoritmo
pre_teste,9,,,,,,,18,18,generalizacao,18,18,algoritmo
pos_teste,9,,,,,,,16,16,generalizacao,16,16,algoritmo
pre_teste,10,,,,"11,5",11.5,decomposicao,"11,5",11.5,generalizacao,"11,5",11.5,algoritmo
pos_teste,10,,,,"10,5",10.5,decomposicao,"10,5",10.5,generalizacao,"10,5",10.5,algoritmo
pre_teste,11,"11,5",11.5,abstracao,"11,5",11.5,decomposicao,"11,5",11.5,generalizacao,"11,5",11.5,algoritmo
pos_teste,11,13,13,abstracao,13,13,decomposicao,13,13,generalizacao,13,13,algoritmo
pre_teste,12,"7,5",7.5,abstracao,"7,5",7.5,decomposicao,"7,5",7.5,generalizacao,"7,5",7.5,algoritmo
pos_teste,12,4,4,abstracao,4,4,decomposicao,4,4,generalizacao,4,4,algoritmo
pre_teste,13,"10,5",10.5,abstracao,"10,5",10.5,decomposicao,,,,"10,5",10.5,algoritmo
pos_teste,13,"7,5",7.5,abstracao,"7,5",7.5,decomposicao,,,,"7,5",7.5,algoritmo
pre_teste,14,8,8,abstracao,,,,8,8,generalizacao,8,8,algoritmo
pos_teste,14,"6,5",6.5,abstracao,,,,"6,5",6.5,generalizacao,"6,5",6.5,algoritmo
pre_teste,15,"5,5",5.5,abstracao,"5,5",5.5,decomposicao,"5,5",5.5,generalizacao,"5,5",5.5,algoritmo
pos_teste,15,6,6,abstracao,6,6,decomposicao,6,6,generalizacao,6,6,algoritmo
pre_teste,16,,,,,,,,,,6,6,algoritmo
pos_teste,16,,,,,,,,,,4,4,algoritmo
pre_teste,17,,,,,,,"5,5",5.5,generalizacao,"5,5",5.5,algoritmo
pos_teste,17,,,,,,,4,4,generalizacao,4,4,algoritmo
pre_teste,18,,,,,,,"8,5",8.5,generalizacao,"8,5",8.5,algoritmo
pos_teste,18,,,,,,,9,9,generalizacao,9,9,algoritmo
pre_teste,19,,,,,,,,,,10,10,algoritmo
pos_teste,19,,,,,,,,,,"6,5",6.5,algoritmo
pre_teste,20,,,,,,,12,12,generalizacao,12,12,algoritmo
pos_teste,20,,,,,,,10,10,generalizacao,10,10,algoritmo
