frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650793685657,0.241112,,executor,,,,,,,,
1,1650793685714,0.293236,,executor,,,,,,,,
2,1650793685806,0.388244,,executor,,,,,,,,
3,1650793685820,0.399903,,executor,,,,,,,,
4,1650793685906,0.490413,,executor,,,,,,,,
5,1650793686005,0.582662,,executor,,,,,,,,
6,1650793686119,0.697586,,executor,,,,,,,,
7,1650793686220,0.799434,,executor,,,,,,,,
8,1650793686326,0.909431,,executor,,,,,,,,
9,1650793686403,0.979258,,executor,,,,,,,,
10,1650793686596,1.177992,,executor,,,,,,,,
11,1650793686605,1.186727,,executor,,,,,,,,
12,1650793686799,1.374227,,executor,,,,,,,,
13,1650793686812,1.387926,,executor,,,,,,,,
14,1650793687008,1.588458,,executor,,,,,,,,
15,1650793687016,1.595923,,executor,,,,,,,,
16,1650793687199,1.785543,,executor,,,,,,,,
17,1650793687205,1.791127,,executor,,,,,,,,
18,1650793687317,1.893354,,executor,,,,,,,,
19,1650793687422,2.001557,,executor,,,,,,,,
20,1650793687631,2.213281,,executor,,,,,,,,
21,1650793687632,2.213281,,executor,,,,,,,,
22,1650793687849,2.425446,,executor,,,,,,,,
23,1650793687904,2.486744,,executor,,,,,,,,
24,1650793688076,2.654405,,executor,,,,,,,,
25,1650793688080,2.658318,,executor,,,,,,,,
26,1650793688306,2.885267,,executor,,,,,,,,
27,1650793688318,2.89776,,executor,,,,,,,,
28,1650793688330,2.909058,,executor,,,,,,,,
29,1650793688484,3.061553,,executor,,,,,,,,
30,1650793688501,3.077118,,executor,,,,,,,,
31,1650793688610,3.188132,,executor,,,,,,,,
32,1650793688717,3.297854,,executor,,,,,,,,
33,1650793688823,3.405199,,executor,,,,,,,,
34,1650793688904,3.479952,,executor,,,,,,,,
35,1650793689014,3.590349,,executor,,,,,,,,
36,1650793689130,3.70896,,executor,,,,,,,,
37,1650793689197,3.780824,,executor,,,,,,,,
38,1650793689319,3.903863,,executor,,,,,,,,
39,1650793689538,4.11492,,executor,,,,,,,,
40,1650793689566,4.152097,,executor,,,,,,,,
41,1650793689621,4.202969,,executor,,,,,,,,
42,1650793689703,4.288683,,executor,,,,,,,,
43,1650793689816,4.39174,,executor,,,,,,,,
44,1650793689916,4.494773,,executor,,,,,,,,
45,1650793689998,4.582207,,executor,,,,,,,,
46,1650793690105,4.690083,,executor,,,,,,,,
47,1650793690202,4.779412,,executor,,,,,,,,
48,1650793690314,4.892766,,executor,,,,,,,,
49,1650793690400,4.982277,,executor,,,,,,,,
50,1650793690511,5.0941,,executor,,,,,,,,
51,1650793690607,5.193287,,executor,,,,,,,,
52,1650793690818,5.397801,,executor,,,,,,,,
53,1650793690827,5.406929,,executor,,,,,,,,
54,1650793690917,5.500613,,executor,,,,,,,,
55,1650793691007,5.592847,,executor,,,,,,,,
56,1650793691234,5.811981,,executor,,,,,,,,
57,1650793691247,5.824891,,executor,,,,,,,,
58,1650793691330,5.911257,,executor,,,,,,,,
59,1650793691394,5.980736,,executor,,,,,,,,
60,1650793691502,6.080372,,executor,,,,,,,,
61,1650793691622,6.202159,,executor,,,,,,,,
62,1650793691722,6.302988,,executor,,,,,,,,
63,1650793691824,6.408491,,executor,,,,,,,,
64,1650793691997,6.576721,,executor,,,,,,,,
65,1650793692000,6.580032,,executor,,,,,,,,
66,1650793692267,6.847356,,executor,,,,,,,,
67,1650793692301,6.877049,,executor,,,,,,,,
68,1650793692305,6.881725,,executor,,,,,,,,
69,1650793692405,6.984806,,executor,,,,,,,,
70,1650793692511,7.09242,,executor,,,,,,,,
71,1650793692619,7.203167,,executor,,,,,,,,
72,1650793692710,7.285735,,executor,,,,,,,,
73,1650793692813,7.390735,,executor,,,,,,,,
74,1650793692918,7.498631,,executor,,,,,,,,
75,1650793693016,7.599468,,executor,,,,,,,,
76,1650793693129,7.714366,,executor,,,,,,,,
77,1650793693204,7.781611,,executor,,,,,,,,
78,1650793693297,7.879111,,executor,,,,,,,,
79,1650793693409,7.993071,,executor,,,,,,,,
80,1650793693514,8.098943,,executor,,,,,,,,
81,1650793693605,8.180433,,executor,,,,,,,,
82,1650793693721,8.299553,,executor,,,,,,,,
83,1650793693825,8.406551,,executor,,,,,,,,
84,1650793694011,8.588438,,executor,,,,,,,,
85,1650793694015,8.592212,,executor,,,,,,,,
86,1650793694218,8.799817,,executor,,,,,,,,
87,1650793694223,8.805024,,executor,,,,,,,,
88,1650793694442,9.026537,,executor,,,,,,,,
89,1650793694477,9.059603,,executor,,,,,,,,
90,1650793694507,9.086147,,executor,,,,,,,,
91,1650793694614,9.196165,,executor,,,,,,,,
92,1650793694720,9.30312,,executor,,,,,,,,
93,1650793694806,9.392332,,executor,,,,,,,,
94,1650793695094,9.677954,,executor,,,,,,,,
95,1650793695108,9.691029,,executor,,,,,,,,
96,1650793695117,9.70015,,executor,,,,,,,,
97,1650793695242,9.826043,,executor,,,,,,,,
98,1650793695404,9.984738,,executor,,,,,,,,
99,1650793695410,9.990155,,executor,,,,,,,,
100,1650793695510,10.093444,,executor,,,,,,,,
101,1650793695614,10.200157,,executor,,,,,,,,
102,1650793695698,10.276662,,executor,,,,,,,,
103,1650793695920,10.501005,,executor,,,,,,,,
104,1650793695926,10.507209,,executor,,,,,,,,
105,1650793696020,10.604506,,executor,,,,,,,,
106,1650793696122,10.698082,,executor,,,,,,,,
107,1650793696220,10.79941,,executor,,,,,,,,
108,1650793696301,10.883692,,executor,,,,,,,,
109,1650793696414,10.997558,,executor,,,,,,,,
110,1650793696605,11.184659,,executor,,,,,,,,
111,1650793696614,11.193046,,executor,,,,,,,,
112,1650793696694,11.276122,,executor,,,,,,,,
113,1650793696911,11.487011,,executor,,,,,,,,
114,1650793696915,11.490785,,executor,,,,,,,,
115,1650793697009,11.588254,,executor,,,,,,,,
116,1650793697202,11.785844,,executor,,,,,,,,
117,1650793697207,11.790366,,executor,,,,,,,,
118,1650793697394,11.973513,,executor,,,,,,,,
119,1650793697403,11.982791,,executor,,,,,,,,
120,1650793697515,12.095389,,executor,,,,,,,,
121,1650793697638,12.220073,,executor,,,,,,,,
122,1650793697891,12.473647,,executor,,,,,,,,
123,1650793697902,12.48235,,executor,,,,,,,,
124,1650793697909,12.489095,,executor,,,,,,,,
125,1650793698015,12.596919,,executor,,,,,,,,
126,1650793698111,12.693998,,executor,,,,,,,,
127,1650793698301,12.881811,,executor,,,,,,,,
128,1650793698306,12.886449,,executor,,,,,,,,
129,1650793698500,13.084786,,executor,,,,,,,,
130,1650793698506,13.090773,,executor,,,,,,,,
131,1650793698610,13.187732,,executor,,,,,,,,
132,1650793698725,13.303714,,executor,,,,,,,,
