frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650794794906,0.812352,0,executor,0.000029542154152295552,5.278109505013617e-9,1.3229281670135151e-8,2.8350135572452473e-9,0.9999697208404541,8.253905434685294e-7,3.239906121166314e-8,0
1,1650794794936,0.839156,0,executor,0.000026081925170728937,2.2879538263964605e-8,5.953133819236456e-11,2.6499489269582455e-9,0.9998689293861389,0.00010513284360058606,2.9954403402143726e-8,0
2,1650794795197,1.100222,0,executor,0.00003028830724360887,1.9642296469890574e-11,4.099583953559582e-12,4.666288466737001e-10,0.999969482421875,1.0969674235639104e-7,1.5263775798857182e-9,0
3,1650794795201,1.100222,0,executor,0.00003028830724360887,1.9642296469890574e-11,4.099583953559582e-12,4.666288466737001e-10,0.999969482421875,1.0969674235639104e-7,1.5263775798857182e-9,0
4,1650794795423,1.328647,0,executor,0.000001765609226822562,2.0816184886918165e-10,2.308341452011975e-12,8.131718631787521e-10,0.999995768070221,0.000002774451786535792,1.8452402272828294e-8,0
5,1650794795450,1.353802,0,executor,0.0000055687241911073215,2.0341717199556797e-10,5.4478366262600275e-12,1.2292917794809455e-9,0.999974250793457,0.000020033905457239598,4.243176476848021e-9,0
6,1650794795598,1.501548,0,executor,4.537209008503851e-7,1.2836408602723282e-9,8.316100629304768e-13,1.3914194241237965e-8,0.9999990463256836,7.36619199415145e-7,4.360383609736118e-9,0
7,1650794795762,1.673674,0,executor,0.000006089394901209744,4.809118436810422e-9,1.1518033976674197e-13,3.4355682743125726e-9,0.9999933838844299,5.199822226131801e-7,5.879545739162495e-9,0
8,1650794795901,1.811151,0,executor,7.428008075294201e-7,1.9666122896833116e-10,7.235860267082797e-14,4.418571897257806e-10,0.9999990463256836,2.7457704732114507e-7,2.314715974449655e-9,0
9,1650794796092,1.997699,0,executor,5.008715220355953e-7,3.0310830234636654e-11,4.4818607104670644e-14,6.808641983546693e-10,0.9999990463256836,2.6775194328365615e-7,1.8881280983151782e-9,0
10,1650794796256,2.159449,0,executor,0.000004666262611863203,2.6636861605311424e-9,2.0372562144210793e-12,3.1813314205209053e-9,0.9999947547912598,7.24921505934617e-7,1.1115443676601444e-8,0
11,1650794796396,2.2987,0,executor,0.0000029405109671643004,2.074659111173105e-9,1.609991165992669e-13,3.4229419298981156e-9,0.9999966621398926,3.9878145230431983e-7,4.591931723751941e-9,0
12,1650794796543,2.453117,0,executor,0.000005498493010236416,3.4044964625223884e-9,1.3454528832203272e-13,9.46858857986399e-9,0.9999938011169434,9.188416356664675e-7,3.900311629223552e-9,0
13,1650794796685,2.594516,0,executor,0.0000035225223200541222,2.0486348173420765e-9,1.6199705693640404e-13,5.384600765268033e-9,0.999995768070221,9.492941899225116e-7,4.456912616745967e-9,0
14,1650794796837,2.746977,0,executor,0.000035824570659315214,2.6798854801945993e-10,4.5431167508547254e-12,8.848156651808381e-10,0.9999613761901855,0.0000029095858735672664,9.192779515387883e-8,0
15,1650794796964,2.873733,0,executor,0.000264855771092698,8.362305292664018e-10,9.645170946648296e-12,1.403281518763677e-10,0.9996081590652466,0.00012665847316384315,2.181013343260929e-7,0
16,1650794797103,3.011775,0,executor,0.00005045040597906336,3.0280065121957023e-9,1.4372114609528808e-11,3.8445038819112654e-10,0.9998036026954651,0.0001459914055885747,1.1080273765173843e-7,0
17,1650794797198,3.109637,0,executor,0.000018525010091252625,2.3218942046820956e-10,7.500422158357445e-12,2.653668951246857e-11,0.9814610481262207,0.01852019503712654,5.1043087978541735e-8,0
18,1650794797318,3.220101,0,executor,0.00010950009891530499,2.7196285223851646e-9,5.107631331768836e-12,1.3575493160167262e-11,0.99101722240448,0.008873054757714272,2.3856267716837465e-7,0
19,1650794797479,3.389303,0,executor,0.00001022018932417268,1.1271016342462303e-9,3.3768745178602844e-12,1.0827391760948046e-10,0.9986419677734375,0.0013476820895448327,7.351987818537964e-8,0
20,1650794797639,3.547063,0,executor,0.0000020240443063812563,5.725658280830714e-10,5.2193358142382795e-12,5.334928609990186e-10,0.9997792840003967,0.0002184198674513027,2.440386879243306e-7,0
21,1650794797751,3.659975,0,executor,0.00002575281723693479,1.4380685531278914e-10,9.23037721831197e-15,7.810643798400463e-11,0.9983457922935486,0.0016284527955576777,1.1676691835660336e-9,0
22,1650794797840,3.752132,0,executor,0.00005211859388509765,2.8772856319747575e-10,4.209173360878414e-14,8.88716183977678e-12,0.9953231811523438,0.004624590277671814,6.290555853993851e-10,0
23,1650794798053,3.959128,0,executor,0.000003373210347490385,5.235534783487594e-10,2.1686589630749535e-14,1.6459238416643984e-9,0.9999799728393555,0.00001679807792243082,2.070775995122176e-9,0
24,1650794798058,3.959128,0,executor,0.000016704685549484566,2.435297963288008e-9,4.73104221814305e-14,3.955114458165099e-9,0.9999804496765137,0.0000028965134788450086,4.370483974724948e-9,0
25,1650794798266,4.176603,0,executor,0.000006666543413302861,6.460438295441406e-10,1.821824720975914e-14,5.483539400330528e-9,0.9999909400939941,0.0000022810525024397066,4.2026830904262624e-9,0
26,1650794798418,4.325924,0,executor,0.000009048888387042098,1.1944499833660416e-9,1.3525459371206347e-14,1.1065636185136896e-9,0.9999799728393555,0.000011028813787561376,7.447143346439589e-9,0
27,1650794798524,4.435133,0,executor,0.000004431113211467164,1.4692007332950396e-10,9.40246466704089e-15,8.836793796707099e-11,0.9999918937683105,0.0000037451463867910206,5.84499515454695e-9,0
28,1650794798618,4.521702,0,executor,0.0000032495106552232755,6.800428553610516e-10,1.3512411675686842e-14,1.6441490391372326e-9,0.9999961853027344,4.5483619715014356e-7,2.897494466580497e-9,0
29,1650794798777,4.688118,0,executor,0.0000023702409635006916,9.207716256121046e-10,1.988653280948511e-14,7.119257405818757e-10,0.9999876022338867,0.000010197933079325594,1.926869996893288e-9,0
30,1650794798929,4.837698,0,executor,0.000010744852261268534,9.11992981134091e-10,6.299403273318793e-13,2.471756965771732e-10,0.9999837875366211,0.000005500412498804508,2.4217936100967563e-8,0
31,1650794799063,4.973516,0,executor,0.0000046346240196726285,5.535005787038472e-11,2.0059808645439027e-14,2.5959274660425358e-11,0.9999847412109375,0.000010651715456333477,3.5949334620255513e-9,0
32,1650794799166,5.077746,0,executor,0.000004562925369100412,1.7136422836294685e-10,1.026308995199978e-14,2.690364944712975e-11,0.9999804496765137,0.000014818842828390189,2.6495039495699757e-9,0
33,1650794799406,5.309085,0,executor,0.000008004381925275084,4.968832983953675e-11,1.6969547850785062e-14,4.360954999893529e-11,0.9999785423278809,0.00001348103705822723,3.4107898727597785e-8,0
34,1650794799543,5.445267,0,executor,0.000003582795898182667,4.5497700051910783e-10,2.889985071998641e-13,6.49671150210196e-11,0.9998712539672852,0.00012476442498154938,4.941795168633689e-7,0
35,1650794799683,5.595824,0,executor,0.000001414526195731014,7.882315460061573e-12,1.9226004658754944e-14,5.483909767262096e-12,0.9998116493225098,0.00018681850633583963,6.208487057790535e-9,0
36,1650794799768,5.672579,0,executor,0.0000018839810991266859,1.211370934117717e-11,1.0578001555195879e-14,9.743846007825852e-11,0.9999880790710449,0.000009888804015645292,1.4711228679686883e-8,0
37,1650794799963,5.874249,0,executor,0.004794045351445675,2.25676766163474e-9,5.499425784552536e-13,2.58942173259058e-10,0.9951977133750916,0.000008361883374163881,2.2018415979374595e-9,0
38,1650794800067,5.979132,0,executor,0.000003376753056727466,1.4475373677491632e-10,6.868050101077952e-14,1.1826133128334249e-10,0.9998550415039062,0.0001413830614183098,8.209906088296748e-10,0
39,1650794800187,6.089544,0,executor,0.0010438929311931133,5.12654585449468e-10,1.852833424881295e-12,3.054333869156878e-11,0.9987714290618896,0.00018466664187144488,1.3380979657640069e-9,0
40,1650794800338,6.23972,0,executor,0.00002709914042497985,5.363478550179934e-10,2.737785584176755e-13,6.03106939389697e-11,0.9997715950012207,0.00020131531346123666,7.728918616223268e-10,0
41,1650794800486,6.395859,0,executor,0.000003108707460341975,5.5078944877218206e-11,2.0282212392333694e-14,1.858014020417187e-10,0.9999713897705078,0.000025436553187319078,1.3066014936669035e-10,0
